,Unnamed: 0,url,title,site,pagesize,lan_code,lan_full
106,106,https://en.wikipedia.org/wiki/Jainey%20K.%20Bavishi,Jainey K. Bavishi,en.wikipedia.org,7525.0,en,English
107,107,https://pt.wikipedia.org/wiki/Jainey%20K.%20Bavishi,Jainey K. Bavishi,pt.wikipedia.org,7307.0,pt,Portuguese
108,108,https://en.wikipedia.org/wiki/Abigail%20Dillen,Abigail Dillen,en.wikipedia.org,7368.0,en,English
109,109,https://es.wikipedia.org/wiki/Abigail%20Dillen,Abigail Dillen,es.wikipedia.org,7118.0,es,Spanish
110,110,https://fr.wikipedia.org/wiki/Abigail%20Dillen,Abigail Dillen,fr.wikipedia.org,6843.0,fr,French
111,111,https://pt.wikipedia.org/wiki/Abigail%20Dillen,Abigail Dillen,pt.wikipedia.org,6855.0,pt,Portuguese
112,112,https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BB%D0%BB%D0%B5%D0%BD%2C%20%D0%AD%D0%B1%D0%B8%D0%B3%D0%B5%D0%B9%D0%BB,"Диллен, Эбигейл",ru.wikipedia.org,11170.0,ru,Russian
113,113,https://ar.wikipedia.org/wiki/%D8%A3%D8%A8%D9%8A%D8%AC%D9%8A%D9%84%20%D8%AF%D9%8A%D9%84%D9%8A%D9%86,أبيجيل ديلين,ar.wikipedia.org,15711.0,ar,Arabic
114,114,https://en.wikipedia.org/wiki/Climate%20change%20in%20Nigeria,Climate change in Nigeria,en.wikipedia.org,70704.0,en,English
115,115,https://es.wikipedia.org/wiki/Cambio%20clim%C3%A1tico%20en%20Nigeria,Cambio climático en Nigeria,es.wikipedia.org,4650.0,es,Spanish
116,116,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1%20%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A%20%D9%81%D9%8A%20%D9%86%D9%8A%D8%AC%D9%8A%D8%B1%D9%8A%D8%A7,التغير المناخي في نيجيريا,ar.wikipedia.org,21174.0,ar,Arabic
117,117,https://en.wikipedia.org/wiki/Climate%20change%20in%20Italy,Climate change in Italy,en.wikipedia.org,45368.0,en,English
118,118,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1%20%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A%20%D9%81%D9%8A%20%D8%A5%D9%8A%D8%B7%D8%A7%D9%84%D9%8A%D8%A7,التغير المناخي في إيطاليا,ar.wikipedia.org,20705.0,ar,Arabic
119,119,https://en.wikipedia.org/wiki/Chiara%20Sacchi,Chiara Sacchi,en.wikipedia.org,5305.0,en,English
120,120,https://es.wikipedia.org/wiki/Chiara%20Sacchi,Chiara Sacchi,es.wikipedia.org,5561.0,es,Spanish
121,121,https://fr.wikipedia.org/wiki/Chiara%20Sacchi,Chiara Sacchi,fr.wikipedia.org,5300.0,fr,French
122,122,https://pt.wikipedia.org/wiki/Chiara%20Sacchi,Chiara Sacchi,pt.wikipedia.org,3966.0,pt,Portuguese
123,123,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BA%D0%BA%D0%B8%2C%20%D0%9A%D1%8C%D1%8F%D1%80%D0%B0,"Сакки, Кьяра",ru.wikipedia.org,7073.0,ru,Russian
124,124,https://hi.wikipedia.org/wiki/%E0%A4%9A%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%B0%E0%A4%BE%20%E0%A4%B8%E0%A4%BE%E0%A4%9A%E0%A5%80,चियारा साची,hi.wikipedia.org,6397.0,hi,Hindi
125,125,https://nl.wikipedia.org/wiki/Chiara%20Sacchi,Chiara Sacchi,nl.wikipedia.org,4370.0,nl,Dutch
126,126,https://en.wikipedia.org/wiki/Disha%20Ravi,Disha Ravi,en.wikipedia.org,59467.0,en,English
127,127,https://es.wikipedia.org/wiki/Disha%20Ravi,Disha Ravi,es.wikipedia.org,13443.0,es,Spanish
128,128,https://de.wikipedia.org/wiki/Disha%20Ravi,Disha Ravi,de.wikipedia.org,3453.0,de,German
129,129,https://fr.wikipedia.org/wiki/Disha%20Ravi,Disha Ravi,fr.wikipedia.org,21237.0,fr,French
130,130,https://ar.wikipedia.org/wiki/%D8%AF%D9%8A%D8%B4%D8%A7%20%D8%B1%D8%A7%D9%81%D9%8A,ديشا رافي,ar.wikipedia.org,33467.0,ar,Arabic
131,131,https://nl.wikipedia.org/wiki/Disha%20Ravi,Disha Ravi,nl.wikipedia.org,9363.0,nl,Dutch
132,132,https://no.wikipedia.org/wiki/Disha%20Ravi,Disha Ravi,no.wikipedia.org,6800.0,no,Norwegian
133,133,https://en.wikipedia.org/wiki/Climate%20change%20in%20Uruguay,Climate change in Uruguay,en.wikipedia.org,9981.0,en,English
134,134,https://es.wikipedia.org/wiki/Cambio%20clim%C3%A1tico%20en%20Uruguay,Cambio climático en Uruguay,es.wikipedia.org,19780.0,es,Spanish
135,135,https://en.wikipedia.org/wiki/Bushfires%20in%20Australia,Bushfires in Australia,en.wikipedia.org,100516.0,en,English
136,136,https://es.wikipedia.org/wiki/Incendios%20forestales%20de%20Australia,Incendios forestales de Australia,es.wikipedia.org,13641.0,es,Spanish
137,137,https://de.wikipedia.org/wiki/Buschfeuer%20in%20Australien,Buschfeuer in Australien,de.wikipedia.org,49163.0,de,German
138,138,https://fr.wikipedia.org/wiki/Incendies%20de%20v%C3%A9g%C3%A9tation%20en%20Australie,Incendies de végétation en Australie,fr.wikipedia.org,35791.0,fr,French
139,139,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E3%81%AE%E6%A3%AE%E6%9E%97%E7%81%AB%E7%81%BD,オーストラリアの森林火災,ja.wikipedia.org,12582.0,ja,Japanese
140,140,https://pl.wikipedia.org/wiki/Po%C5%BCary%20buszu,Pożary buszu,pl.wikipedia.org,4557.0,pl,Polish
141,141,https://zh.wikipedia.org/wiki/%E6%BE%B3%E5%A4%A7%E5%88%A9%E4%BA%9E%E5%8F%A2%E6%9E%97%E5%A4%A7%E7%81%AB,澳大利亞叢林大火,zh.wikipedia.org,17505.0,zh,Chinese
142,142,https://id.wikipedia.org/wiki/Kebakaran%20hutan%20dan%20lahan%20di%20Australia,Kebakaran hutan dan lahan di Australia,id.wikipedia.org,12613.0,id,Indonesian
143,143,https://ar.wikipedia.org/wiki/%D8%AD%D8%B1%D8%A7%D8%A6%D9%82%20%D8%A7%D9%84%D8%BA%D8%A7%D8%A8%D8%A7%D8%AA%20%D9%81%D9%8A%20%D8%A3%D8%B3%D8%AA%D8%B1%D8%A7%D9%84%D9%8A%D8%A7,حرائق الغابات في أستراليا,ar.wikipedia.org,18147.0,ar,Arabic
144,144,https://uk.wikipedia.org/wiki/%D0%9B%D1%96%D1%81%D0%BE%D0%B2%D1%96%20%D0%BF%D0%BE%D0%B6%D0%B5%D0%B6%D1%96%20%D0%B2%20%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D1%96%D1%97,Лісові пожежі в Австралії,uk.wikipedia.org,64594.0,uk,Ukrainian
145,145,https://nl.wikipedia.org/wiki/Natuurbranden%20in%20Australi%C3%AB,Natuurbranden in Australië,nl.wikipedia.org,6278.0,nl,Dutch
146,146,https://en.wikipedia.org/wiki/Nkosilathi%20Nyathi,Nkosilathi Nyathi,en.wikipedia.org,12618.0,en,English
147,147,https://es.wikipedia.org/wiki/Nkosilathi%20Nyathi,Nkosilathi Nyathi,es.wikipedia.org,8323.0,es,Spanish
